Issue,CoverStory,ReleaseDate,Events,Anniversary,TotalPages,Editor,ContactMethod,DaysSincePrevious
1,May our souls be sacrified for you! - Shaykh Anwar al-Awlaki,6/1/10,,,66,Unnamed,Asrar al-Mujahideen: inspire11malahem@gmail.com; inspire1magazine@hotmail.com; inspire2magazine@yahoo.com; inspire22malahem@fastmail.net,NA
2,Photos from the Operations of Abyan,10/1/10,,,73,Unnamed,Asrar al-Mujahideen: inspire11malahem@gmail.com; inspire1magazine@hotmail.com; inspire2magazine@yahoo.com; inspire22malahem@fastmail.net,122
3,"""$4,200""",11/1/10,,,22,Unnamed,Asrar al-Mujahideen: inspire11malahem@gmail.com; inspire1magazine@hotmail.com; inspire2magazine@yahoo.com; inspire22malahem@fastmail.net,31
4,The Ruling on Dispossessing the Disbelievers Wealth in Dar al-Harb,1/1/11,,,66,Unnamed,Asrar al-Mujahideen: inspire11malahem@gmail.com; inspire1magazine@hotmail.com; inspire2magazine@yahoo.com; inspire22malahem@fastmail.net,61
5,The Tsunami of Change,3/1/11,,,69,Yahya Ibrahim,Asrar al-Mujahideen: inspire11malahem@gmail.com; inspire1magazine@hotmail.com; inspire2magazine@yahoo.com,59
6,"Sadness, Contentment and Aspiration",7/1/11,"Bin Laden killed May 2, 2011",,60,Yahya Ibrahim,Asrar al-Mujahideen: inspire11malahem@gmail.com; inspire1magazine@hotmail.com; inspire2magazine@yahoo.com; inspire22malahem@fastmail.net,122
7,The Greatest Special Operation of All Time,9/1/11,"Anwar al-Awlaki and Samir Khan killed September 30, 2011",11-Sep,37,Yahya Ibrahim,Asrar al-Mujahideen: inspire11malahem@gmail.com; inspire2magazine@yahoo.com; inspire22malahem@fastmail.net,62
8,Targeting Dar al-Harb Populations,5/1/12,"16-year old Abdulrahman al-Awlaki killed October 14, 2011",,62,Yahya Ibrahim,Asrar al-Mujahideen: inspire11malahem@gmail.com; inspire2magazine@yahoo.com; inspire22malahem@fastmail.net,243
9,Wining on the Ground,5/1/12,,,61,Yahya Ibrahim,Asrar al-Mujahideen: inspire11malahem@gmail.com; inspire2magazine@yahoo.com; inspire22malahem@fastmail.net,0
10,We Are All Usama,3/1/13,,,60,Yahya Ibrahim,Asrar al-Mujahideen: inscont@yahoo.com; pirezine@yahoo.com,304
11,Who and Why,5/1/13,,,38,Unnamed,Asrar al-Mujahideen: inscont@yahoo.com; pirezine@yahoo.com,61
12,Shattered: A Story About Change,3/1/14,,,71,Yahya Ibrahim,None; Email Addresses Suspended,304
13,Neurotmesis: Cutting the Nerves and Isolating the Head,12/1/14,,,111,Yahya Ibrahim,None; Email Addresses Suspended,275
14,Assassination Operations,9/1/15,,11-Sep,87,Yahya Ibrahim,None; Email Addresses Suspended,274
15,Professional Assassinations,5/1/16,,,89,Yahya Ibrahim,None; Email Addresses Suspended,243
16,The 9/17 Operations,11/1/16,,,47,Yahya Ibrahim,None; Email Addresses Suspended,184
